,1989年1月,1989年2月,1989年3月,1989年4月,1989年5月,1989年6月,1989年7月,1989年8月,1989年9月,1989年10月,1989年11月,1989年12月,1990年1月,1990年2月,1990年3月,1990年4月,1990年5月,1990年6月,1990年7月,1990年8月,1990年9月,1990年10月,1990年11月,1990年12月,1991年1月,1991年2月,1991年3月,1991年4月,1991年5月,1991年6月,1991年7月,1991年8月,1991年9月,1991年10月,1991年11月,1991年12月,1992年1月,1992年2月,1992年3月,1992年4月,1992年5月,1992年6月,1992年7月,1992年8月,1992年9月,1992年10月,1992年11月,1992年12月,1993年1月,1993年2月,1993年3月,1993年4月,1993年5月,1993年6月,1993年7月,1993年8月,1993年9月,1993年10月,1993年11月,1993年12月,1994年1月,1994年2月,1994年3月,1994年4月,1994年5月,1994年6月,1994年7月,1994年8月,1994年9月,1994年10月,1994年11月,1994年12月,1995年1月,1995年2月,1995年3月,1995年4月,1995年5月,1995年6月,1995年7月,1995年8月,1995年9月,1995年10月,1995年11月,1995年12月,1996年1月,1996年2月,1996年3月,1996年4月,1996年5月,1996年6月,1996年7月,1996年8月,1996年9月,1996年10月,1996年11月,1996年12月,1997年1月,1997年2月,1997年3月,1997年4月,1997年5月,1997年6月,1997年7月,1997年8月,1997年9月,1997年10月,1997年11月,1997年12月,1998年1月,1998年2月,1998年3月,1998年4月,1998年5月,1998年6月,1998年7月,1998年8月,1998年9月,1998年10月,1998年11月,1998年12月,1999年1月,1999年2月,1999年3月,1999年4月,1999年5月,1999年6月,1999年7月,1999年8月,1999年9月,1999年10月,1999年11月,1999年12月,2000年1月,2000年2月,2000年3月,2000年4月,2000年5月,2000年6月,2000年7月,2000年8月,2000年9月,2000年10月,2000年11月,2000年12月,2001年1月,2001年2月,2001年3月,2001年4月,2001年5月,2001年6月,2001年7月,2001年8月,2001年9月,2001年10月,2001年11月,2001年12月,2002年1月,2002年2月,2002年3月,2002年4月,2002年5月,2002年6月,2002年7月,2002年8月,2002年9月,2002年10月,2002年11月,2002年12月,2003年1月,2003年2月,2003年3月,2003年4月,2003年5月,2003年6月,2003年7月,2003年8月,2003年9月,2003年10月,2003年11月,2003年12月,2004年1月,2004年2月,2004年3月,2004年4月,2004年5月,2004年6月,2004年7月,2004年8月,2004年9月,2004年10月,2004年11月,2004年12月,2005年1月,2005年2月,2005年3月,2005年4月,2005年5月,2005年6月,2005年7月,2005年8月,2005年9月,2005年10月,2005年11月,2005年12月,2006年1月,2006年2月,2006年3月,2006年4月,2006年5月,2006年6月,2006年7月,2006年8月,2006年9月,2006年10月,2006年11月,2006年12月,2007年1月,2007年2月,2007年3月,2007年4月,2007年5月,2007年6月,2007年7月,2007年8月,2007年9月,2007年10月,2007年11月,2007年12月,2008年1月,2008年2月,2008年3月,2008年4月,2008年5月,2008年6月,2008年7月,2008年8月,2008年9月,2008年10月,2008年11月,2008年12月,2009年1月,2009年2月,2009年3月,2009年4月,2009年5月,2009年6月,2009年7月,2009年8月,2009年9月,2009年10月,2009年11月,2009年12月,2010年1月,2010年2月,2010年3月,2010年4月,2010年5月,2010年6月,2010年7月,2010年8月,2010年9月,2010年10月,2010年11月,2010年12月,2011年1月,2011年2月,2011年3月,2011年4月,2011年5月,2011年6月,2011年7月,2011年8月,2011年9月,2011年10月,2011年11月,2011年12月,2012年1月,2012年2月,2012年3月,2012年4月,2012年5月,2012年6月,2012年7月,2012年8月,2012年9月,2012年10月,2012年11月,2012年12月,2013年1月,2013年2月,2013年3月,2013年4月,2013年5月,2013年6月,2013年7月,2013年8月,2013年9月,2013年10月,2013年11月,2013年12月,2014年1月,2014年2月,2014年3月,2014年4月,2014年5月,2014年6月,2014年7月,2014年8月,2014年9月,2014年10月,2014年11月,2014年12月,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
合計,17795609,17531314,19163583,18542427,18451992,19596745,20209882,19586570,20146647,20047666,19717917,19690072,18811428,18542857,19985404,19382693,19640288,21085788,21751765,20839817,21311005,21579147,20662067,20638779,19956372,19973336,21279792,20679239,20701901,21938422,22676648,20884295,21614601,21834933,20895449,20531583,19726128,19944354,20731579,20062792,19959386,21311223,22044414,20463775,21497804,21337306,20586904,20276397,19433557,19434699,21109742,20153357,19949028,21347937,21324580,19786866,20779649,20596928,20086314,19747094,18984475,19065404,20625201,19740741,19732267,21488334,22554123,21309747,21955136,21703848,21175373,20920945,19804881,20203513,21844380,20755399,20560883,21628827,22333969,21643095,21504475,21649395,20981798,21032313,20115744,20936612,21594336,20769370,20908455,22062075,23192743,21580277,22021025,22330603,21695032,21566491,20988114,20872736,22254281,21569016,21972583,23032189,23993429,22330000,23050204,22857827,21839921,21589488,20981123,20512613,21593258,21154412,21265827,22214514,23000030,21383902,22346668,22186885,20846949,20751494,19873276,19938716,21138527,20352165,20507523,22075800,22663183,21932953,22967658,22405211,21533486,21501439,20388097,21222791,22179799,21072879,21476420,23011078,23843222,23018824,23304734,22982943,22141278,22065168,21164258,20860482,22104456,20980021,21260670,22471890,23562208,21982636,21902635,21900622,20917414,20751197,19837739,19774463,21031313,20608630,21177052,22150539,23656571,22475961,22544626,22427390,21574275,21574136,20873368,20405013,21916000,21167929,21561985,22338041,22645682,21902068,22723087,22291198,21544639,21478241,20949460,21058062,22206260,21628984,21840595,23376084,24374895,22882632,23369669,22806063,22031555,21863761,21291462,21027786,22577099,21844130,21664711,23488566,23980054,23268988,23816868,23424167,22533903,22866472,22075653,21606434,23222829,22528031,22726310,24426554,25096729,24566854,24544910,24722961,24045871,24093985,23079855,22684216,24643475,23570449,23875526,25423863,25838265,25737520,25966746,25710019,24723941,24773085,23952976,24497048,25193995,24338344,24781403,25977002,27511142,25729868,26114805,25581340,23436935,21551631,19471168,18038326,19035999,19359330,19979899,21565785,23036794,22096970,22538113,22727158,21991107,21950843,21572315,21223992,22827167,22294345,22463139,24149462,25361674,24668570,24881405,24035720,23038011,23099837,22815126,22192142,21398175,20920035,21712659,23466042,24165952,23243861,23488333,23263458,22518812,22211004,21625558,22044784,22854394,22142707,22117792,23006316,23758341,22939835,23004880,22499632,21457930,21282508,20779309,20423645,21711327,21262272,21714834,22724650,23941868,22871166,22748547,23030323,21737875,21694899,21491722,20940442,22319323,21426895,21710926,22707062,23683014,22389828,22416362,22499499,21474571,21574732,21109601,20397369,21796521,21002653,20986465,22073025,23278440,21940347,21665444,21686364,20925883,20599296,20441436,20273742,21053124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使用電力量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電灯合計,16020513,13790991,13140858,13351134,12113602,10871180,12136784,14433640,15093712,12396401,12688865,13779591,17417540,15462455,13674542,13712348,13518556,11488827,13601217,17613357,16935762,13042494,13334399,14364260,18488698,16165268,15153828,14572119,13970289,12441437,14012449,17611243,16403080,13574406,15036781,14580874,19934486,17443553,15745636,15855794,14727176,12573499,13734246,18396655,16983713,14005283,15233859,15500824,20639294,17934723,16550481,17240856,15282636,13292565,14520638,16508000,16484130,14585584,14943415,16790574,21279982,19220627,17545953,17810195,14936301,13815429,17429261,22408602,20556509,15612853,15302357,17309177,22316325,19619445,18398956,18702000,16028019,14412064,16381497,21905178,21189018,15375635,16704730,18831241,23950203,21025454,20144757,18946856,17744318,15088650,16542805,22820989,18953350,15950222,17971022,18763814,24516889,21882267,19049832,18401057,17569129,15160610,18474859,22101297,20212884,17085397,17901476,18428661,25053157,22549699,19432399,19807486,17777510,15599989,19589098,22957968,21345697,18012345,18296163,19404160,25260428,22201043,20685748,21052967,18013287,16013953,18405457,23018126,23266364,19374805,17938603,19994070,26005764,22653656,22496952,21047726,18218249,16708367,19996277,24101283,24156624,17620255,19339638,20699306,26915302,24243894,21545424,20057767,18872135,17055925,20443697,25882206,21244927,17806302,19476610,21663841,27454579,23773647,20737577,19302055,19517959,17180031,18943153,27132577,22586135,18327068,21456982,21584596,29813020,24922561,22672876,21392964,19708424,17039913,19098722,22688248,22796004,19692694,19733567,20799984,28844229,25239059,22619942,22522768,19721413,17487917,22493658,25721613,23534015,20124384,19735292,21341373,28745841,26482257,24636592,23765024,20186794,17572946,21455424,24716288,24713798,20607591,20041847,24033326,32698144,26827096,24670911,24270912,21491624,17999474,21177628,24957576,24835429,19016946,21059188,23588543,30202907,25857830,23852773,23147622,21929842,18568407,20076337,25604172,25919046,20690417,21412638,24785775,31823000,29534039,26231678,22705611,21860016,18520119,20777905,27799245,22735016,20498671,21641356,24032761,31701386,27930360,25080957,24409295,21500290,18133697,21286691,24951319,22314943,20266743,21543451,23823982,32921952,28315782,25496273,26470557,22892688,18568865,22583956,27320396,28316162,21242852,21649308,24299533,34081348,30299622,26504410,25317067,21278574,17894189,22147297,23265741,24385459,19828787,19974009,23669606,33052028,29831843,28301241,24265871,21283546,17990125,19408033,24783265,24420615,19172377,20651288,26180261,32823469,29452338,25788592,22184790,21562787,17765220,20024687,25697689,23599281,19185074,21227815,23715017,33272639,29517919,26587620,22308024,20369324,17277312,19207530,24020976,20277858,18590843,20114911,23365541,33568671,28626269,25375347,23216788,19561019,16812168,18761333,24857280,20086410,18213181,19288729,21745306,29757016,28490590,26060313
従量電灯A・B,13035193,11115541,10606589,10692154,9673253,8607592,9698939,11796390,12290082,9850035,10029801,11006561,14176841,12502574,10967921,10943348,10778632,9069260,10951830,14596782,13892992,10341203,10516051,11428827,15054096,13046604,12212284,11618960,11108152,9825526,11232042,14432303,13325435,10731492,11877787,11589396,16201554,14056617,12635353,12650817,11687011,9874047,10863458,15011012,13799264,11017100,11982716,12300032,16716694,14406786,13266707,13767813,12119614,10429259,11486777,13226086,13183711,11420132,11697875,13297061,17184650,15428646,14044061,14150434,11740968,10784467,14027462,18537361,16775927,12225460,11906472,13637008,17963233,15696212,14662660,14801139,12599209,11215598,12928078,17963360,17196703,11939325,12986493,14851010,19232949,16766125,16014894,14932940,13912136,11681857,13007198,18587415,15062155,12321753,13892402,14671193,19543440,17327511,14969745,14341770,13631927,11663751,14558408,17716771,16125988,13179458,13774062,14290102,19877680,17793885,15205340,15387065,13711712,11990817,15485832,18494034,17024456,13954142,14015841,15020651,19960264,17414424,16158670,16355058,13873551,12237077,14284610,18442288,18557377,15033238,13645610,15379053,20397067,17646847,17527703,16223021,13917422,12687530,15622962,19305293,19221933,13424994,14634367,15812051,21047226,18808618,16614187,15287613,14336350,12879696,15984382,20731288,16568767,13458533,14642854,16468990,21288147,18222635,15773632,14515527,14675573,12844124,14456675,21514249,17553916,13658447,16013015,16199233,22861855,18880094,17094086,15956307,14570446,12519819,14238479,17267272,17506995,14579581,14372232,15283779,21673673,18814610,16704196,16514881,14365915,12731520,16981335,19861476,17798381,14734920,14208365,15433289,21294853,19514439,18093509,17238015,14463194,12542687,15771160,18671803,18470938,14844714,14176766,17243040,23950434,19331701,17668878,17230350,15175120,12614363,15260310,18507203,18260122,13297034,14577344,16466221,21388895,18058997,16603661,16003127,15134975,12753721,14083937,18635669,18907670,14471042,14528536,16930161,22092199,20393513,17905027,15297440,14752189,12455191,14381716,20111270,15979605,13866381,14352289,15980046,21332407,18621254,16660196,16105487,14167495,11958058,14476827,17413043,15342587,13417220,13996077,15492580,21715312,18488421,16562249,17156208,14823526,12025489,15290850,19197790,19974843,14030654,13853332,15447717,22038754,19441840,16912062,16070330,13497251,11431459,14915933,15980202,16667162,12847768,12565591,14801918,20994680,18795129,17798629,15070658,13327997,11314555,12567740,16910438,16603925,12312888,12759038,16190383,20438794,18247081,15845389,13500071,13228300,11069416,13015003,17420376,15778781,12146194,13001902,14372368,20443519,18054261,16208502,13400438,12344084,10635852,12223405,15960143,13081843,11494358,12094763,14029108,20362456,17260841,15196311,13862227,11756550,10264086,11769509,16548884,12863466,11140285,11485218,12905280,17756323,17034635,15475857
電力計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27020771,25865177,27547009,31722301,34161689,33344381,29554034,26522504,26744882,27910280,28836058,27336723,27322550,25179508,28010824,30972090,35142445,35158819,30570319,26799572,27415730,28603350,29877516,29457587,27882991,25775839,28846590,32996529,36860432,35855264,29741185,27668073,28257968,29800212,31112830,28710333,27794737,26294054,29040431,33738052,37068694,33422729,29008956,27342365,27989198,29366404,29758870,27396322,27014004,26170236,28665638,32178978,37470733,34407944,29396640,28124865,28791697,30431866,30792487,28877198,28392641,26778673,28709909,31263523,33647718,34631350,29984216,27443437,28045547,30073168,31183343,29376439,19484842,17622776,19513757,23399485,26219734,24219363,20612596,18247802,18528559,20556107,22134983,20188419,4192189,3617526,3542825,4758505,5580174,5438996,4150686,3317143,3947217,5442432,4660444,4178415,4066820,3609052,3416909,4417028,5348821,5223059,3594869,3403916,3657138,4632608,4198279,3857809,3729287,3574653,3450044,4069681,5241257,5266361,3940152,3294474,3718469,4661830,4646515,4149612,3417549,3416625,3215074,4030235,5595900,4418608,3593579,3220460,3451923,4517817,4145708,3732528,3603020,3265532,3050648,3963975,4761244,4223651,3392155,3065668,3311705,4652483,4186023,3697049,3836848,3387422,3057071,4094992,5163455,5217871,3542688,3013737,3304200,4672747,4384531,3776994,3644318,3129192,2874397,4062234,4408662,4411453,3268675,2829730,3280499,4595921,4372403,4053613,3473090,3093037,2927031,3390744,4593546,4432638,3135297,2803260,3525611,4484476,4157511,3677604,3077947,3097128,2966156,3545624,4615174,4112018,3167283,2890111,3154099,4398853,4088217,3669602,3084856,2904460,2827522,3314576,4271794,3491919,2965353,2728170,3106099,4441423,3898116,3438657,3145806,2869827,2775130,3172719,4341249,3363257,2810312,2635665,2850010,3839345,3823601,3523015
低圧電力,2803419,2545115,2382012,2363876,2074390,2143168,2896815,4304650,4389087,2877246,2164212,2382963,2979319,2857123,2407732,2325090,2300660,2424248,3636405,5162349,4885543,3033821,2257594,2352033,3090818,2960872,2754644,2466554,2344166,2582240,3664549,4925012,4476183,2994708,2431588,2369219,3183513,3051662,2730881,2585128,2380709,2356435,3064784,4895781,4542614,2928324,2385239,2438031,3235056,3046119,2823104,2812373,2406493,2464956,3159881,3959266,3992200,2794762,2300138,2590568,3305434,3246660,2944596,2843927,2394304,2714790,4209470,5856944,5329847,3344593,2414452,2646323,3409134,3253439,3016321,2867049,2417591,2467013,3487281,5448293,5146862,3007674,2583349,2924139,3680728,3472813,3283650,2926843,2699335,2778108,3663780,5627349,4479441,2997418,2685953,2831143,3620822,3528037,2964310,2703833,2713042,2682574,4196228,5316359,4816539,3165672,2642052,2655990,3602784,3525027,2918714,2921155,2887211,2817726,4256893,5336916,4907148,3690960,2753016,2774348,3581110,3386724,3097873,3010283,2638314,2885080,3799398,5342655,5342432,3993123,2602542,2828097,3673548,3439501,3460608,3024295,2608911,2945068,4331655,5552672,5496025,3340788,2745528,2899746,3786412,3662223,3171158,2822745,2682140,2953414,4359395,5787144,4573705,3179351,2691213,2966563,3722439,3404348,2885374,2584413,2646522,2875448,3608413,5775230,4727518,3138099,2839729,2854685,3852393,3431533,3081929,2757196,2607431,2617883,3397590,4380922,4514260,3249301,2485868,2551406,3616009,3387145,2948473,2823438,2557664,2756805,4348370,5206098,4534515,3329728,2405305,2540477,3434308,3414282,3154346,2905764,2471842,2517265,3785185,4643777,4564902,3289748,2370455,2822761,3819951,3276099,2949991,2811560,2470948,2425144,3488151,4423358,4346844,2764217,2460474,2595022,3254303,2947051,2684317,2565024,2458636,2471326,3174421,4297367,4428781,3151798,2363159,2646179,3268462,3284048,2915489,2372798,2364002,2293332,3131386,4667282,3634126,2789466,2310943,2444755,3136517,2906402,2594400,2474057,2248018,2163447,3098821,3893812,3414556,2590718,2188609,2346605,3217753,2920956,2573132,2667669,2338304,2173419,3266357,4310943,4432512,2789144,2170827,2354829,3244020,3088605,2642988,2497185,2145987,2035598,3223683,3596748,3665185,2529887,2045403,2301993,3155063,3051122,2840245,2387617,2164311,2074494,2593822,3755554,3692041,2468469,2015274,2508621,3050001,2887116,2523723,2097561,2105034,2135307,2761262,3805360,3394048,2487341,2105387,2266893,3070172,2855629,2579136,2121517,2012293,2057443,2567855,3494060,2819519,2269115,1974706,2220371,3100036,2787392,2480556,2241731,2043665,2023410,2421224,3577462,2708824,2146729,1910259,2041188,2696568,2728973,2507803
電灯電力計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46828257,43642687,43146997,51311399,57119657,54690079,47566379,44818667,46149042,53170708,51037101,48022471,48375517,43192795,44024777,49377547,58160571,58425183,49945124,44738175,47409800,54609114,52531172,51954539,48930717,43994088,45554957,52992806,60961715,60011888,47361440,47007711,48957274,56715514,55356724,50255757,47852504,45166189,46096356,54181749,62950900,54667656,46815258,46818975,49653039,56820983,53532517,48133899,46316059,45688194,45845670,51122131,64603310,56994079,47723708,49581847,50376293,60244885,55715048,51550074,49785605,46487098,45749822,50362245,56335965,57427354,49676910,47177003,48845531,58917397,56422402,51996381,42007610,37344190,37001674,45893143,51941348,47753377,40736980,37983094,39869933,49301948,48617240,44825011,27957213,23804320,21115771,26213929,30296462,30152794,24758278,23358990,27980543,38140577,31487540,28849326,28337732,25100676,21416383,25594656,30306397,30058488,22611815,24463104,27245682,34835515,30056109,27710582,26876909,25504495,22018451,24146018,30845429,31185407,24630569,24707112,28504243,36484830,34180554,30381291,26123160,25276641,21735192,24808140,33395146,27153624,24092250,24861815,27484684,36219203,32076068,28813485,28012315,24765822,21184346,25250666,29712563,26538594,23658898,24609118,27135687,37574435,32501805,29193321,30307405,26280110,21625936,26678947,32483850,33534033,24785540,24663045,27603734,38754095,34684152,30281404,28961385,24407767,20768586,26209531,27674403,28796912,23097462,22803739,26950105,37647948,34204246,32354855,27738961,24376582,20917156,22798777,29376812,28853252,22307674,23454548,29705872,37307945,33609849,29466196,25262737,24659915,20731376,23570311,30312863,27711300,22352356,24117926,26869117,37671491,33606137,30257221,25392880,23273784,20104834,22522106,28292770,23769777,21556196,22843081,26471639,38010093,32524386,28814004,26362594,22430846,19587298,21934052,29198528,23449667,21023493,21924395,24595316,33596362,32314190,29583328
特定規模需要,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17457441,17886594,18386788,19013035,17949024,18434715,18313944,17135277,17015023,16433116,16192176,17250789,16730942,17217271,18253680,18702388,18342672,18926922,18533650,17611368,17598390,16875929,17254410,18128378,17321674,18021446,19016198,19729732,19114464,19157483,18900832,18072227,18035167,17504039,16893697,18055874,17238464,17777821,18588069,19495338,18267259,18041424,18064174,17129049,17041366,16427851,16072413,17266293,16941568,17693920,18374099,19527426,18769196,18583271,18500629,17676073,17727415,17278847,16613033,18027627,17384537,17966894,18472066,18559764,18238822,18608231,18231172,17642927,17566719,17233603,17120320,18095900,26996996,27470843,29690939,31649361,30213756,30171705,28751900,27585230,27491274,27093386,26633414,28403321,43138251,41317722,45386428,48552773,50349577,50134851,46310239,43596090,44682231,45066801,45133751,44774162,44111246,42939430,46569898,49635790,51769509,50981979,47335936,45537186,45838656,45372123,45627091,45966794,45366761,44523205,47962761,50362818,53062503,53261037,49613838,46393818,46711435,46445823,48590333,47784253,45922335,45348552,48140070,52396129,53792977,52031444,48589747,44832786,43286583,41616534,40656955,40281123,40376616,39772868,43177250,47044332,48081552,47228549,44481994,42683768,43346405,43856750,44224145,44104122,43897612,42586701,45974223,50249706,52444182,52188914,46647362,43852041,44264775,45095710,45571858,41962476,40390813,39957710,43406152,46894134,47637208,47128895,43810122,42019179,42399267,43120705,44903704,44263844,42577706,41121474,43125579,45689385,48215998,47539742,43649689,40918480,41820603,42502066,42510356,42005068,40870480,40424761,43135004,46634811,48219737,46622640,44008046,41253860,41898568,42745040,42844965,42760532,41074177,40006387,42699496,45489675,46477305,44511370,42224544,40245913,41407321,42172188,41666882,41447879,40187486,39021521,41426068,43992263,45434924,42820703,40217286,38792276,39008929,39608794,40584949,39961891
特定規模需要/業務用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15040603,14042739,15615034,17915897,19997615,19361094,16499262,14838209,15558016,16912739,16881060,15505540,15339249,14551056,15890328,17985720,20157107,19507378,16384397,15319084,15652066,16471706,16570416,15488652,15675312,15039089,16375248,18096170,20437822,20464206,17494049,15536487,15889631,16716420,17626825,16512113,15586858,15071957,16197244,18520853,21140459,19448212,16915436,15564341,16033645,16861392,17032584,16180059,15789196,15012367,16309510,18350842,19993044,18769436,16314227,15262850,15889543,16954832,17140524,15910779,15948735,15027071,16201306,18815808,21236277,20730176,16869710,15277607,15643879,16938256,17397725,15295270,14223548,13501249,14626417,16936013,18269450,17641000,15069390,14063551,14781946,16223569,16932643,15854343,14981821,14014829,14725146,16382769,19076356,18512961,15611115,14136617,15215685,16503670,16424810,15101210,14323155,13838747,15039564,17019776,19179504,18013662,15445378,14150367,14840550,16035667,16187025,15148524,14264651,13421025,14652222,16195619,18108936,16463391,14391639,13564412,14541970,15865075,15662023,14538471,13894612,13224435,14087920,15277758,17587370,15628078,13479605,12838306,13373296,14357444,14948009,13885865
特定規模需要/産業用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28097648,27274983,29771394,30636876,30351961,30773758,29810977,28757881,29124215,28154062,28252691,29268622,28771997,28388374,30679570,31650070,31612402,31474601,30951539,30218103,30186590,28900416,29056675,30478142,29691448,29484116,31587513,32266648,32624681,32796831,32119788,30857331,30821804,29729403,30963508,31272139,30335477,30276595,31942826,33875275,32652519,32583232,31674312,29268446,27252937,24755142,23624371,24101064,24587420,24760500,26867740,28693490,28088508,28459112,28167767,27420917,27456862,26901919,27083622,28193343,27948877,27559631,29772917,31433899,31207905,31458738,29777652,28574434,28620896,28157453,28174133,26667207,26167265,26456461,28779735,29958121,29367759,29487895,28740732,27955628,27617320,26897136,27971061,28409501,27595885,27106644,28400434,29306617,29139642,29026782,28038574,26781862,26604919,25998397,26085546,26903859,26547325,26586013,28095440,29615035,29040233,28608977,28562668,27103492,27058017,26709373,26657939,27612008,26809525,26585361,28047274,29294057,28368369,28047979,27832905,26681501,26865351,26307112,26004860,26909408,26292874,25797085,27338148,28714506,27847553,27192625,26737681,25953970,25635633,25251351,25636940,26076026
販売電力合計,51644033,47947215,48573850,48788188,46276002,46613542,51225641,55956119,57441707,50362760,48737690,50427107,54942825,52100709,50424779,50132296,50340032,50330967,56756870,63496026,62249233,53737227,51317422,52515810,58027569,55218641,54811116,53373762,52557861,53224382,58971993,63689467,61657477,55074008,54461314,53093799,60124949,57490912,55517101,54977277,52933077,52484321,57161608,64752834,62722993,55322059,54577977,54543020,61029094,57912557,57293633,57642485,53836193,54118729,57703885,60296876,60874490,55327358,53844976,56350584,61845199,60037350,58699745,58388440,53652622,56256378,65445176,73563599,70188434,59579368,56285859,58691715,64378422,62161788,61505191,60842461,56117630,56690833,62741709,72962417,70445972,58954455,58436487,61681846,67643571,65796939,64660970,61941388,59698809,59522560,65299634,74780223,67881013,60902900,61479896,62712358,69428826,67265550,63688665,62251901,61225978,61177570,69920714,74861924,71984824,63584224,61819656,62353308,70357820,68205507,63707469,64285698,61529281,61533785,70324434,75068681,73124794,65880323,61953944,63164065,69603824,67229277,65273260,65106459,60410066,62278457,68079935,76503243,77352105,68478774,62349543,65008190,71485043,69785582,70082917,66252391,62015534,64571155,72722538,80076179,79169371,66262272,65079938,66992441,74219553,72250421,68311631,65090968,62944010,64684425,73677087,81218159,72709080,64879432,63948024,66694405,73248834,69604930,65400192,63257627,63382114,64219769,70649557,83372506,75577349,66224337,67257920,68103708,77523732,72328082,69577700,67170142,64453991,64221888,68922008,74574787,76035586,67908082,64819931,66412250,76151000,73542722,70092282,69004605,64815034,66692613,77542504,82155104,77925083,69488879,65568324,67361207,76395334,75250654,73228332,71095464,65122042,66502199,74766702,80646039,80287646,71068517,66955079,72662774,83207377,76621291,73623488,72448978,68040106,67986281,75230446,82075906,81040467,69947751,70000290,73084338,80207637,75683201,73677375,72243669,70027700,69981212,74508837,83907932,84446444,74244406,71100930,75215678,82930652,82770886,78165543,72045496,70625193,69875262,77204269,87188123,79185068,72681997,69694602,70771267,77835737,72733023,69094608,68388931,64538690,64361596,72294998,77794115,73767142,68140892,67292886,70482092,81431186,76725951,73297443,74205018,68866811,67600159,76928653,84928032,85722947,71432902,68515086,71868508,83849805,80256010,72243881,69352198,64365476,64174737,73103665,75311611,75925807,66907585,64822918,69349371,80768654,79107951,76618698,70316667,65498056,64042735,68488162,77592810,76392995,65957363,64373027,71526475,79810011,76120205,71471264,66133217,65084676,63866380,70205121,78532599,74333939,66360403,65371785,68767684,80416531,76451101,73017753,66467057,63280170,62804330,68011781,74770075,68281147,63780740,63088994,67878960,80182281,74191268,70261883,66550080,61452367,61013366,65926315,74633452,66270370,61240779,60716671,63604246,73205156,72899139,69545218
